Fall,EarlySpring,LateSpring,Summer,Winter
8,27,22,28,21
18,30,13,40,22
20,27,33,21,16
22,17,26,17,27
14,21,27,26,23
9,25,35,20,18
24,24,36,24,17
21,17,34,36,19
19,25,18,37,19
14,15,19,27,14
17,14,27,24,13
18,27,20,35,12
12,20,10,18,17
17,19,30,36,13
20,25,39,41,10
8,31,30,14,17
10,19,49,39,17
9,22,15,35,17
8,33,32,18,10
13,18,22,18,10
14,20,28,38,17
17,30,21,17,12
16,23,31,32,13
14,21,32,28,18
14,20,36,36,23
8,26,42,33,19
18,18,22,32,21
22,21,33,47,10
4,26,39,31,16
17,25,21,23,22
25,15,29,18,18
11,22,48,33,9
10,35,26,22,12
15,25,39,33,23
15,14,28,23,22
